No.	Strike	Dip	Dip Quad	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes
1	160	25	W	0	0	0	m	0	0	0	
2	155	0	W	0	0	0	m	0	0	0	
3	155	85	W	0	0	0		0	0	0	
4	162	2	W	0	0	0		0	0	0	
5	148	78	W	0	0	0		0	0	0	
6	152	90	W	0	0	0		0	0	0	
7	165	24	W	0	0	0		0	0	0	
8	166	5	W	0	0	0		0	0	0	
9	155	82	W	0	0	0		0	0	0	
10	340	88	E	0	0	0		0	0	0	
11	160	85	W	0	0	0		0	0	0	
12	162	28	W	0	0	0		0	0	0	
13	164	80	W	0	0	0		0	0	0	
14	166	85	W	0	0	0		0	0	0	
15	266	45	N	0	0	0		0	0	0	
16	160	23	W	0	0	0		0	0	0	
17	342	3	E	0	0	0		0	0	0	
18	157	85	W	0	0	0		0	0	0	
19	166	80	W	0	0	0		0	0	0	
20	155	25	W	0	0	0		0	0	0	
21	172	88	W	0	0	0		0	0	0	
22	155	85	W	0	0	0		0	0	0	
23	148	15	W	0	0	0		0	0	0	
24	152	30	W	0	0	0		0	0	0	
25	160	4	W	0	0	0		0	0	0	
26	162	6	W	0	0	0		0	0	0	
27	165	80	W	0	0	0		0	0	0	
28	172	5	W	0	0	0		0	0	0	
29	155	22	W	0	0	0		0	0	0	
30	162	88	W	0	0	0		0	0	0	
